caseid,gend_gendobs,finance_finpast,libcpre_self,divgov_splitgov,ineq_incgap,effic_carestd,effic_saystd,effic_complicrev,guarpr_self,trustgov_trustgrev,relig_pray,dem_birthyr,dem_marital,zipcode
576,2,3,4,2,1,-1,-1,4,4,3,1,1979,4,23900
6241,-1,2,4,1,1,2,2,-1,5,-1,4,1939,4,84244
6769,-1,1,5,1,1,-1,-1,2,4,3,3,1962,6,15209
4312,-1,1,4,2,3,-1,-1,3,4,2,2,1943,1,67217
6335,-1,2,-9,2,2,-1,-1,5,7,4,2,1955,1,10724
1866,1,2,-2,2,1,1,1,-1,-2,-1,5,1946,4,99966
1208,1,1,4,2,1,-1,-1,4,1,3,2,1982,6,61378
3243,-1,2,4,2,1,1,1,-1,3,-1,1,1981,1,51570
6130,-1,1,4,1,1,-1,-1,3,4,2,5,1968,1,24246
622,2,1,2,3,1,3,3,-1,1,-1,3,1981,6,92852
1571,2,1,4,3,3,-1,-1,3,4,5,1,1992,1,38473
6143,-1,1,2,1,3,2,5,-1,4,-1,1,1961,1,15023
6227,-1,1,3,3,1,-1,-1,3,4,4,4,1973,6,39509
1831,2,2,5,2,1,1,5,-1,4,-1,1,1988,5,73476
1584,2,1,5,1,3,-1,-1,3,7,5,1,1962,4,36239
3037,-1,2,4,3,2,3,2,-1,2,-1,1,1962,1,47362
3260,-1,1,3,3,1,-1,-1,3,3,4,5,1968,6,88524
3469,-1,1,4,2,2,1,3,-1,3,-1,3,1992,6,61453
847,2,1,-2,1,3,-1,-1,4,7,3,1,1953,6,79860
4166,-1,2,3,3,3,-1,-1,4,3,4,4,1969,1,50286
4087,-1,2,3,2,3,-1,-1,3,4,4,3,1951,6,49096
1230,2,1,6,2,1,4,2,-1,1,-1,3,1959,1,14234
6279,-1,1,7,2,1,-1,-1,4,7,4,1,1979,1,56335
4355,-1,1,6,3,1,3,3,-1,4,-1,1,1978,1,23576
778,2,1,4,3,2,-1,-1,5,7,4,2,1992,6,50928
6137,-1,1,1,2,1,4,3,-1,4,-1,5,1962,1,33301
251,2,1,-2,3,1,2,1,-1,3,-1,3,1977,2,46430
884,2,1,6,-8,3,3,5,-1,5,-1,1,1939,3,89113
1159,2,1,2,2,1,-1,-1,4,3,4,4,1954,6,70815
6728,-1,2,4,3,1,-1,-1,4,7,5,5,1994,6,34072
5989,-1,2,4,3,1,-1,-1,3,3,4,2,1968,1,73027
3632,-1,2,6,2,3,2,3,-1,4,-1,3,1977,1,27378
446,1,1,4,2,1,4,5,-1,4,-1,4,1990,6,32911
4533,-1,2,4,2,1,2,2,-1,4,-1,1,1968,1,97244
1746,2,2,4,2,2,-1,-1,4,5,4,2,1986,1,16125
3119,-1,1,5,3,1,1,1,-1,-2,-1,5,1978,1,22682
850,2,2,-9,-8,2,1,1,-1,1,-1,3,1941,1,20510
3253,-1,2,6,2,1,1,2,-1,7,-1,1,1955,6,85462
1205,2,1,-2,1,1,2,1,-1,2,-1,1,1944,4,40944
5181,-1,1,3,2,3,3,3,-1,-2,-1,4,1988,6,50491
3004,-1,2,5,2,1,3,4,-1,6,-1,2,1935,1,14152
1902,2,1,3,1,1,1,2,-1,4,-1,5,1989,6,11010
3622,-1,1,3,2,1,1,2,-1,3,-1,4,1955,1,74616
3563,-1,2,2,3,1,-1,-1,2,3,4,5,1988,5,38000
1258,1,1,4,1,3,-1,-1,4,5,3,4,1985,6,25845
5673,-1,2,6,1,1,-1,-1,3,2,4,2,1955,1,85866
1289,2,1,-2,2,1,2,2,-1,3,-1,3,1979,1,97745
8,2,1,-2,1,1,-1,-1,2,-8,-8,1,1942,3,95784
348,1,2,5,2,1,-1,-1,1,4,3,5,1957,6,96944
5336,-1,1,4,1,2,3,3,-1,3,-1,3,1961,4,24574
1486,2,1,1,2,2,-1,-1,2,4,3,1,1979,6,69755
5444,-1,1,6,2,3,-1,-1,3,7,3,1,1974,1,13852
5359,-1,2,4,1,1,-1,-1,4,6,3,2,1931,1,22248
4615,-1,2,5,1,1,-1,-1,4,2,4,4,1963,1,26773
6031,-1,1,6,3,3,3,3,-1,5,-1,1,1971,4,12170
3160,-1,1,2,1,1,-1,-1,5,4,4,3,1956,1,94277
6232,-1,2,5,3,1,2,2,-1,2,-1,1,1957,4,48744
848,1,1,6,3,3,2,4,-1,7,-1,2,1974,6,75473
1883,1,3,6,2,1,5,5,-1,7,-1,1,1956,4,32985
1443,2,1,-2,1,1,4,2,-1,4,-1,3,1990,5,32799
4938,-1,1,4,3,3,-1,-1,-9,4,2,1,1938,4,85641
4543,-1,1,6,2,3,-1,-1,4,7,3,3,1974,1,20028
1311,2,1,-2,3,1,1,1,-1,1,-1,3,1981,1,97808
6709,-1,1,4,1,1,-1,-1,4,2,4,5,1954,6,74914
3830,-1,2,6,2,1,1,4,-1,4,-1,1,1945,6,38751
1048,1,2,5,3,1,2,3,-1,7,-1,2,1979,1,13908
6045,-1,1,3,1,1,2,2,-1,4,-1,5,1973,1,96055
4235,-1,2,6,1,1,-1,-1,4,4,3,1,1981,1,40119
1432,1,2,3,2,1,1,4,-1,3,-1,1,1965,4,61154
204,2,2,-2,3,1,3,2,-1,1,-1,3,1990,6,80160
497,2,2,-2,2,1,-1,-1,4,2,2,1,1955,2,65890
927,1,1,-2,3,1,-1,-1,2,5,3,1,-2,1,83534
4755,-1,1,2,3,3,-1,-1,2,4,3,3,1978,6,10624
4388,-1,2,4,3,2,-1,-1,3,-2,3,4,1990,6,74601
6640,-1,2,6,1,1,-1,-1,2,7,4,1,1955,1,51100
310,1,1,5,2,2,1,1,-1,7,-1,2,1982,6,79543
257,2,3,6,1,1,4,3,-1,7,-1,1,1971,1,17697
3638,-1,1,6,2,1,4,4,-1,7,-1,5,1945,1,18209
3798,-1,2,6,3,3,1,2,-1,6,-1,1,1943,1,25949
4037,-1,2,7,2,3,2,3,-1,4,-1,1,1939,1,84281
93,2,1,-2,2,1,1,2,-1,3,-1,1,1961,4,14999
3453,-1,2,4,1,1,2,3,-1,4,-1,1,1960,6,38911
4222,-1,1,4,2,1,2,5,-1,7,-1,1,1955,1,79244
4117,-1,2,6,2,1,-1,-1,5,4,5,5,1963,4,88915
6315,-1,2,6,1,1,-1,-1,4,4,2,4,1952,6,42052
5551,-1,2,4,2,1,2,2,-1,4,-1,1,1936,1,43675
495,1,1,5,1,1,1,4,-1,5,-1,1,1949,6,37769
6250,-1,2,7,1,1,2,2,-1,5,-1,4,1971,5,74661
6727,-1,2,6,2,1,-1,-1,4,6,4,4,1937,1,33785
5419,-1,1,4,3,1,2,4,-1,5,-1,4,1952,3,47654
4808,-1,2,5,2,1,-1,-1,2,5,3,1,1954,6,32084
6453,-1,1,3,1,1,-1,-1,4,4,2,4,1954,1,58690
669,1,2,4,2,2,-1,-1,2,1,4,5,1994,6,55041
5388,-1,1,4,2,1,-1,-1,4,2,2,3,1963,4,70796
5994,-1,1,5,3,1,-1,-1,4,4,4,5,1982,1,31807
4982,-1,1,2,1,1,-1,-1,2,2,3,4,1954,1,85420
5479,-1,2,7,1,3,1,1,-1,7,-1,1,1967,1,23512
4465,-1,2,4,2,1,-1,-1,3,3,3,1,1941,4,62334
1401,2,2,4,1,3,-1,-1,3,6,2,2,1967,1,65036
836,1,2,3,1,3,-1,-1,3,6,3,3,1991,6,33248
762,2,2,-2,-8,1,1,4,-1,3,-1,4,1977,1,49972
6445,-1,1,1,2,2,2,2,-1,1,-1,5,1953,1,52692
6561,-1,1,6,2,1,2,2,-1,6,-1,2,1957,1,89546
5,1,1,2,1,1,-1,-1,5,3,3,2,1977,4,25718
3090,-1,2,6,2,1,-1,-1,3,6,5,1,1944,1,28767
3275,-1,2,6,2,1,3,3,-1,2,-1,1,1957,4,81978
3084,-1,1,1,1,1,3,2,-1,1,-1,5,1962,1,81449
6347,-1,2,4,2,1,-1,-1,4,3,1,5,1945,4,27480
4691,-1,2,5,2,1,-1,-1,4,5,4,1,1947,5,70066
6479,-1,2,5,3,1,2,4,-1,4,-1,5,1986,1,27176
6072,-1,2,6,2,1,2,3,-1,6,-1,5,1981,6,65999
5703,-1,1,5,2,1,2,1,-1,6,-1,2,1949,1,81725
5760,-1,2,5,2,3,-1,-1,4,5,4,1,1953,1,63326
3012,-1,1,4,2,3,-1,-1,5,4,3,1,1974,6,26511
1528,2,1,5,2,3,-1,-1,5,1,2,1,1959,1,85778
3511,-1,1,2,1,1,-1,-1,4,3,3,5,1938,1,53139
5054,-1,2,4,3,1,-1,-1,2,4,4,1,1947,1,33339
5228,-1,2,4,2,1,3,4,-1,4,-1,5,1949,6,21332
5477,-1,-9,-9,-9,-9,-1,-1,5,-2,-9,1,1938,1,56083
606,2,3,4,2,1,2,4,-1,2,-1,1,1954,2,13284
4864,-1,2,2,3,1,-1,-1,5,7,5,5,1977,4,65956
5946,-1,2,4,1,3,-1,-1,2,7,5,2,1957,4,66366
2,1,1,1,1,1,-1,-1,2,1,4,1,1932,4,56118
800,2,1,6,2,1,-1,-1,4,3,3,1,1947,4,14334
1369,1,1,-2,3,1,1,3,-1,2,-1,1,1937,5,11756
388,2,2,1,1,1,-1,-1,4,2,3,3,1941,4,99987
6735,-1,1,6,3,1,-1,-1,4,7,3,3,1963,1,18896
3584,-1,1,6,2,1,2,4,-1,4,-1,1,1954,3,26256
1402,2,1,-2,3,3,5,4,-1,2,-1,1,1994,6,89390
6756,-1,1,5,2,1,4,5,-1,2,-1,2,1984,1,99673
5800,-1,1,7,1,1,3,4,-1,6,-1,5,1986,1,41110
6035,-1,1,2,2,1,-1,-1,4,4,3,2,1968,1,30371
3479,-1,2,5,2,1,3,4,-1,3,-1,4,1953,6,81117
